time_s,imsi,rnti,target_cell_id
0.150768,6,2,3
0.608268,1,3,3
0.741268,6,5,2
0.808268,8,4,3
0.859518,6,5,3
0.909268,3,6,5
1.00827,6,6,2
1.05327,3,7,2
1.05752,11,8,2
1.14427,6,6,3
1.30927,6,9,2
1.35077,10,10,2
1.50927,7,7,5
1.70927,7,3,4
1.81002,1,11,2
1.91077,2,7,3
1.97427,1,8,5
1.98127,1,8,3
2.01002,2,9,5
2.10927,7,12,2
2.43402,8,10,5
2.51227,7,4,4
2.57152,8,9,3
2.58602,8,13,2
2.59402,8,10,3
2.61002,3,11,5
2.73327,3,14,2
2.76852,2,15,2
2.81002,2,12,5
2.83227,8,16,2
3.05002,10,5,4
3.15077,10,17,2
3.20177,11,13,5
3.22752,3,14,5
3.31077,3,6,4
3.31877,2,18,2
3.35077,11,19,2
3.38602,11,15,5
3.41152,2,16,5
3.53627,11,20,2
3.56827,2,21,2
3.96827,9,17,5
4.01152,3,18,5
4.21002,9,22,2
4.31077,11,19,5
4.33477,7,23,2
4.58602,9,20,5
5.21152,9,24,2
5.31227,10,7,4
5.37152,3,25,2
5.41152,10,26,2
5.75077,9,21,5
6.13477,9,11,3
6.31227,9,27,2
6.37327,9,22,5
6.37952,9,28,2
6.41327,9,23,5
6.68027,8,24,5
