imsi,time_s,from_cell_id,to_cell_id,prev_time_s,delta_s,from_rnti,to_rnti
1,0.6077,2,3,0.0542144,0.5534856,1,3
1,0.7647,3,1,0.608268,0.15643200000000002,3,9
1,0.7855,1,3,0.7647,0.02079999999999993,9,3
1,1.8093,3,2,0.7855,1.0238,3,11
1,1.9737,2,5,1.81002,0.16368000000000005,11,8
1,1.9805,5,3,1.97427,0.006229999999999958,8,8
2,0.6047,5,1,0.527268,0.07743200000000006,5,11
2,1.4063,1,5,0.6047,0.8016000000000001,11,5
2,1.6015,5,1,1.4063,0.19519999999999982,5,11
2,1.7055,1,5,1.6015,0.10400000000000009,11,5
2,1.8239,5,1,1.7055,0.11840000000000006,5,11
2,1.8607,1,5,1.8239,0.036799999999999944,11,5
2,1.9055,5,1,1.8607,0.04479999999999995,5,11
2,1.9101,1,3,1.9055,0.0045999999999999375,11,7
2,2.0093,3,5,1.91077,0.09853,7,9
2,2.7679,5,2,2.01002,0.7578800000000001,9,15
2,2.8093,2,5,2.76852,0.040779999999999816,15,12
2,3.3181,5,2,2.81002,0.5080799999999996,12,18
2,3.3231,2,1,3.31877,0.004329999999999945,18,11
2,3.4109,1,5,3.3231,0.08779999999999966,11,16
2,3.5677,5,2,3.41152,0.15617999999999999,16,21
2,4.5903,2,1,3.56827,1.02203,21,11
2,4.6079,1,2,4.5903,0.017599999999999838,11,21
2,4.6991,2,1,4.6079,0.09119999999999973,21,11
2,4.7471,1,2,4.6991,0.04800000000000004,11,21
2,5.1583,2,1,4.7471,0.4112,21,11
2,5.1727,1,2,5.1583,0.01440000000000019,11,21
2,5.4831,2,1,5.1727,0.31040000000000045,21,11
2,5.4911,1,2,5.4831,0.008000000000000007,11,21
3,0.9071,2,1,0.227268,0.679832,4,5
3,0.9085,1,5,0.9071,0.0013999999999999568,5,6
3,0.9119,5,1,0.909268,0.0026320000000000787,6,5
3,0.9727,1,5,0.9119,0.060799999999999965,5,6
3,1.0223,5,1,0.9727,0.04959999999999998,6,5
