event_id	handover_time_s	imsi	target_cell_id	pre_rows	post_rows	pre_loss_pct	post_loss_pct	delta_loss_pct	pre_thr_rx_mbps	post_thr_rx_mbps	delta_thr_rx_mbps	pre_mean_delay_s	post_mean_delay_s	delta_mean_delay_s	pre_weighted_delay_s	post_weighted_delay_s	delta_weighted_delay_s
1	0.150768	6	3	12	24	61.985018726591800	67.45332337565350	5.468304649061710	42.5488	114.06616	71.51736	0.027600358333333300	0.0865260375	0.05892567916666670	0.02404273805418720	0.07512211725562190	0.05107937920143470
2	0.608268	1	3	24	24	70.39465388979950	81.78477195627590	11.390118066476400	122.78964	101.16224	-21.62740000000000	0.17854875416666700	0.24598452500000000	0.0674357708333333	0.16031895664395200	0.21798650786342500	0.057667551219472400
3	0.741268	6	2	24	24	69.84641397773710	83.10678200188990	13.260368024152900	112.0216	121.654	9.63239999999999	0.22439420416666700	0.24101573750000000	0.016621533333333400	0.19505487004672900	0.24106412710843400	0.046009257061704800
4	0.808268	8	3	24	24	81.78477195627590	78.27392871445740	-3.510843241818560	101.16224	113.58496	12.422720000000000	0.24598452500000000	0.28632382083333300	0.04033929583333340	0.21798650786342500	0.28039526576036900	0.06240875789694390
5	0.859518	6	3	24	24	83.10678200188990	77.79369627507160	-5.313085726818300	121.654	89.05512	-32.598880000000000	0.24101573750000000	0.34244490833333300	0.10142917083333300	0.24106412710843400	0.33316006885630500	0.09209594174787120
6	0.909268	3	5	24	24	83.10678200188990	77.79369627507160	-5.313085726818300	121.654	89.05512	-32.598880000000000	0.24101573750000000	0.34244490833333300	0.10142917083333300	0.24106412710843400	0.33316006885630500	0.09209594174787120
7	1.00827	6	2	24	24	78.27392871445740	67.10117019700790	-11.172758517449500	113.58496	116.08796	2.503	0.28632382083333300	0.417981	0.13165717916666700	0.28039526576036900	0.43741912381810000	0.15702385805773100
8	1.05327	3	2	24	24	77.79369627507160	71.42131979695430	-6.372376478117320	89.05512	117.81352	28.758400000000000	0.34244490833333300	0.4695766666666670	0.12713175833333300	0.33316006885630500	0.4708065910301950	0.13764652217389000
9	1.05752	11	2	24	24	77.79369627507160	71.42131979695430	-6.372376478117320	89.05512	117.81352	28.758400000000000	0.34244490833333300	0.4695766666666670	0.12713175833333300	0.33316006885630500	0.4708065910301950	0.13764652217389000
10	1.14427	6	3	24	24	77.79369627507160	71.42131979695430	-6.372376478117320	89.05512	117.81352	28.758400000000000	0.34244490833333300	0.4695766666666670	0.12713175833333300	0.33316006885630500	0.4708065910301950	0.13764652217389000
11	1.30927	6	2	24	24	71.42131979695430	77.47772076694570	6.056400969991400	117.81352	131.00324	13.189720000000000	0.4695766666666670	0.4066787916666670	-0.06289787500000000	0.4708065910301950	0.35209803321342900	-0.11870855781676600
12	1.35077	10	2	24	24	71.95037904893180	81.92337361789660	9.972994568964860	127.75456	110.50204	-17.252520000000000	0.4234570708333330	0.4009058458333330	-0.022551225000000000	0.36883449422604400	0.4161619062114750	0.047327411985430400
13	1.50927	7	5	24	24	77.47772076694570	76.88726978344470	-0.5904509835010710	131.00324	119.67204	-11.33120000000000	0.4066787916666670	0.37822411250000000	-0.028454679166666600	0.35209803321342900	0.4103086995183890	0.058210666304959500
14	1.70927	7	4	24	24	76.88726978344470	77.02649656526010	0.1392267818154100	119.67204	122.6684	2.99636000000001	0.37822411250000000	0.39725790833333300	0.01903379583333330	0.4103086995183890	0.3716619428022210	-0.03864675671616750
15	1.81002	1	2	24	24	79.3168370091447	70.31332280147450	-9.003514207670240	120.8868	118.162	-2.7247999999999900	0.3703067666666670	0.4948311875	0.12452442083333300	0.36182197633290000	0.43394257569844800	0.07212059936554800
16	1.91077	2	3	24	24	77.02649656526010	62.381287372493800	-14.645209192766200	122.6684	112.0836	-10.584800000000000	0.39725790833333300	0.6550665166666670	0.25780860833333300	0.3716619428022210	0.5758485291257600	0.20418658632353800
17	1.97427	1	5	24	24	70.31332280147450	53.53514410118180	-16.778178700292600	118.162	117.4284	-0.7336000000000100	0.4948311875	0.8077605	0.3129293125	0.43394257569844800	0.6954106282909420	0.2614680525924940
18	1.98127	1	3	24	24	70.31332280147450	53.53514410118180	-16.778178700292600	118.162	117.4284	-0.7336000000000100	0.4948311875	0.8077605	0.3129293125	0.43394257569844800	0.6954106282909420	0.2614680525924940
19	2.01002	2	5	24	24	70.31332280147450	53.53514410118180	-16.778178700292600	118.162	117.4284	-0.7336000000000100	0.4948311875	0.8077605	0.3129293125	0.43394257569844800	0.6954106282909420	0.2614680525924940
20	2.10927	7	2	24	24	62.381287372493800	59.94918215023030	-2.432105222263570	112.0836	132.1528	20.06920000000000	0.6550665166666670	0.8381154583333330	0.18304894166666700	0.5758485291257600	0.6708568862014280	0.0950083570756678
21	2.43402	8	5	24	24	67.02379295951020	48.44610193571300	-18.577691023797200	124.188	152.1172	27.929200000000000	0.8010965416666670	0.7281981916666670	-0.07289835	0.6766682329113920	0.65394801784361	-0.022720215067782400
22	2.51227	7	4	24	24	56.47865853658540	52.569169960474300	-3.909488576111070	149.602	119.472	-30.13000000000000	0.7800510666666670	0.7028529583333330	-0.0771981083333334	0.6786037148161120	0.635096176754386	-0.043507538061725900
23	2.57152	8	3	24	24	48.44610193571300	48.3979057591623	-0.04819617655071800	152.1172	129.1136	-23.003600000000000	0.7281981916666670	0.7228045416666670	-0.005393649999999920	0.65394801784361	0.6048205771103900	-0.049127440733220300
24	2.58602	8	2	24	24	48.44610193571300	48.3979057591623	-0.04819617655071800	152.1172	129.1136	-23.003600000000000	0.7281981916666670	0.7228045416666670	-0.005393649999999920	0.65394801784361	0.6048205771103900	-0.049127440733220300
25	2.59402	8	3	24	24	48.44610193571300	48.3979057591623	-0.04819617655071800	152.1172	129.1136	-23.003600000000000	0.7281981916666670	0.7228045416666670	-0.005393649999999920	0.65394801784361	0.6048205771103900	-0.049127440733220300
26	2.61002	3	5	24	24	48.44610193571300	48.3979057591623	-0.04819617655071800	152.1172	129.1136	-23.003600000000000	0.7281981916666670	0.7228045416666670	-0.005393649999999920	0.65394801784361	0.6048205771103900	-0.049127440733220300
27	2.73327	3	2	24	24	52.569169960474300	65.00756221641690	12.438392255942600	119.472	133.358	13.88600000000000	0.7028529583333330	0.743975625	0.04112266666666680	0.635096176754386	0.6009392495088410	-0.03415692724554510
28	2.76852	2	2	24	24	48.3979057591623	68.376185893029	19.978280133866700	129.1136	120.52	-8.593600000000000	0.7228045416666670	0.7304241083333330	0.007619566666666630	0.6048205771103900	0.6255952997391310	0.020774722628740800
29	2.81002	2	5	24	24	48.3979057591623	68.376185893029	19.978280133866700	129.1136	120.52	-8.593600000000000	0.7228045416666670	0.7304241083333330	0.007619566666666630	0.6048205771103900	0.6255952997391310	0.020774722628740800
30	2.83227	8	2	24	24	48.3979057591623	68.376185893029	19.978280133866700	129.1136	120.52	-8.593600000000000	0.7228045416666670	0.7304241083333330	0.007619566666666630	0.6048205771103900	0.6255952997391310	0.020774722628740800
