time_s,imsi,rnti,target_cell_id
0.150768,6,2,3
0.608268,1,3,3
0.741268,6,5,2
0.808268,8,4,3
0.859518,6,5,3
0.909268,3,6,5
1.00827,6,6,2
1.05327,3,7,2
1.05752,11,8,2
1.14427,6,6,3
1.30927,6,9,2
1.35077,10,10,2
1.50927,7,7,5
1.70927,7,3,4
1.81002,1,11,2
1.85477,1,7,3
1.91077,2,8,3
2.21002,2,8,5
2.30927,7,12,2
2.50927,8,13,2
2.51077,7,9,3
2.61002,7,14,2
2.64202,9,10,3
2.82752,1,15,2
2.88202,1,11,3
2.89627,1,16,2
2.91077,7,4,4
3.01002,10,5,4
3.01152,2,12,3
3.09327,1,13,3
3.11402,1,17,2
3.22752,7,18,2
3.35402,8,14,3
3.38177,3,6,4
3.54602,1,15,3
3.57002,8,19,2
3.57952,7,7,4
3.61152,1,20,2
3.89277,3,21,2
3.90927,3,8,4
3.91077,2,22,2
3.91077,10,23,2
3.93577,1,16,3
4.01152,10,9,4
4.01152,8,17,3
4.01152,2,9,5
4.02927,7,24,2
4.09327,7,10,4
4.11077,7,25,2
4.31877,8,26,2
4.56827,2,18,3
4.61152,8,19,3
4.71077,10,27,2
4.72827,8,28,2
4.74127,8,20,3
4.74752,8,29,2
4.77002,8,21,3
4.79652,11,10,5
4.80527,8,30,2
4.81152,10,11,4
4.87077,8,22,3
4.91077,2,31,2
5.21152,11,32,2
5.23652,3,33,2
5.29952,10,34,2
5.31227,7,12,4
5.31227,8,35,2
5.32027,2,23,3
5.33152,2,36,2
5.44527,12,37,2
5.49002,11,11,5
5.58127,2,24,3
5.61327,2,38,2
5.66927,11,39,2
5.95877,7,40,2
6.01152,7,13,4
6.07552,8,25,3
6.11402,10,14,4
6.18077,7,41,2
