imsi,time_s,from_cell_id,to_cell_id,prev_time_s,delta_s,from_rnti,to_rnti
1,0.6077,2,3,0.0542144,0.5534856,1,3
1,0.7647,3,1,0.608268,0.15643200000000002,3,9
1,0.7855,1,3,0.7647,0.02079999999999993,9,3
1,1.8093,3,2,0.7855,1.0238,3,11
1,1.8541,2,3,1.81002,0.04408000000000012,11,7
1,2.8269,3,2,1.85477,0.9721300000000002,7,15
1,2.8671,2,1,2.82752,0.03958000000000039,15,9
1,2.8813,1,3,2.8671,0.014199999999999768,9,11
1,2.8957,3,2,2.88202,0.013680000000000359,11,16
1,3.0431,2,1,2.89627,0.14683000000000002,16,9
1,3.0719,1,2,3.0431,0.028799999999999937,9,16
1,3.0925,2,3,3.0719,0.02059999999999995,16,13
1,3.1133,3,2,3.09327,0.020030000000000214,13,17
1,3.5453,2,3,3.11402,0.4312800000000001,17,15
1,3.6109,3,2,3.54602,0.06488000000000005,15,20
1,3.9351,2,3,3.61152,0.32357999999999976,20,16
2,0.6047,5,1,0.527268,0.07743200000000006,5,11
2,1.4063,1,5,0.6047,0.8016000000000001,11,5
2,1.6015,5,1,1.4063,0.19519999999999982,5,11
2,1.7055,1,5,1.6015,0.10400000000000009,11,5
2,1.8239,5,1,1.7055,0.11840000000000006,5,11
2,1.8623,1,5,1.8239,0.03839999999999999,11,5
2,1.9055,5,1,1.8623,0.043199999999999905,5,11
2,1.9101,1,3,1.9055,0.0045999999999999375,11,8
2,2.0063,3,1,1.91077,0.09552999999999989,8,11
2,2.2093,1,5,2.0063,0.20299999999999985,11,8
2,2.2223,5,1,2.21002,0.012280000000000069,8,11
2,2.9071,1,5,2.2223,0.6847999999999996,11,8
2,3.0109,5,3,2.9071,0.10380000000000011,8,12
2,3.1071,3,1,3.01152,0.09558,12,11
2,3.4079,1,3,3.1071,0.3008000000000002,11,12
2,3.4367,3,1,3.4079,0.028799999999999937,12,11
2,3.5023,1,3,3.4367,0.06559999999999988,11,12
