time_s	imsi	cell_id	rnti
0.0542144	1	2	1
0.0542147	4	5	1
0.0542148	5	4	1
0.0542149	6	5	2
0.054215	7	2	2
0.0542151	8	5	3
0.0542151	9	2	3
0.0542152	10	5	4
0.0542153	11	4	2
0.0542154	12	3	1
0.0591	11	1	2
0.0783	9	1	1
0.0799	10	1	6
0.0847	12	1	8
0.1039	11	4	2
0.1501	6	3	2
0.150768	6	3	2
0.227268	3	2	4
0.3039	10	5	4
0.3279	10	1	6
0.3519	8	1	7
0.3759	8	5	3
0.4047	8	1	7
0.4783	8	5	3
0.527268	2	5	5
0.5295	10	5	4
0.5439	10	1	6
0.6047	2	1	11
0.6077	1	3	3
0.608268	1	3	3
0.7039	9	2	3
0.7071	12	3	1
0.7119	8	1	7
0.7405	6	2	5
0.741268	6	2	5
0.741268	6	2	5
0.7551	12	1	8
0.7615	6	1	10
0.7647	1	1	9
0.7855	1	3	3
0.7935	6	2	5
0.8047	9	1	1
0.8077	8	3	4
0.808268	8	3	4
0.8095	7	1	3
0.8143	7	2	2
0.8351	12	3	1
0.8495	7	1	3
0.8589	6	3	5
0.859518	6	3	5
0.859518	6	3	5
0.859518	6	3	5
0.8623	12	1	8
0.9039	7	2	2
0.9055	8	1	7
0.9071	3	1	5
0.9085	3	5	6
0.909268	3	5	6
0.9119	3	1	5
0.9727	3	5	6
0.9967	7	1	3
1.0077	6	2	6
1.00827	6	2	6
1.00827	6	2	6
1.00827	6	2	6
1.00827	6	2	6
1.0223	3	1	5
1.0525	3	2	7
1.05327	3	2	7
1.05327	3	2	7
1.0569	11	2	8
1.05752	11	2	8
1.0911	6	1	10
1.1055	7	2	2
1.1119	7	1	3
1.1437	6	3	6
1.14427	6	3	6
1.14427	6	3	6
1.14427	6	3	6
1.14427	6	3	6
1.14427	6	3	6
1.2687	8	3	4
1.2703	6	1	10
1.2879	12	3	1
1.3085	6	2	9
1.30927	6	2	9
1.30927	6	2	9
1.30927	6	2	9
1.30927	6	2	9
1.30927	6	2	9
1.30927	6	2	9
1.3439	7	2	2
1.3501	10	2	10
1.35077	10	2	10
1.3551	8	1	7
1.3711	10	1	6
1.3871	7	1	3
1.4047	12	1	8
1.4063	2	5	5
1.4159	8	3	4
1.4287	10	2	10
1.4991	6	1	10
1.5055	6	2	9
1.50858	7	5	7
1.50927	7	5	7
1.5183	10	1	6
1.6015	2	1	11
1.6047	7	1	3
1.6047	10	2	10
1.6735	10	1	6
1.7023	10	2	10
1.7055	2	5	5
1.7055	8	1	7
1.70858	7	4	3
1.70927	7	4	3
1.70927	7	4	3
1.7247	10	1	6
1.7407	10	2	10
1.8063	7	1	3
1.8093	1	2	11
1.81002	1	2	11
1.81002	1	2	11
1.8239	2	1	11
1.8541	1	3	7
1.85477	1	3	7
1.85477	1	3	7
1.85477	1	3	7
1.8623	2	5	5
1.9055	2	1	11
1.9101	2	3	8
1.91077	2	3	8
2.0047	4	1	4
2.0063	2	1	11
2.2047	4	5	1
2.2047	10	1	6
2.2093	2	5	8
2.21002	2	5	8
2.21002	2	5	8
2.2223	2	1	11
2.2847	12	3	1
2.3085	7	2	12
2.30927	7	2	12
2.30927	7	2	12
2.30927	7	2	12
2.3231	12	1	8
2.3375	12	3	1
2.4047	7	1	3
2.5085	8	2	13
2.50927	8	2	13
2.50927	8	2	13
2.5101	7	3	9
2.51077	7	3	9
2.51077	7	3	9
2.51077	7	3	9
2.51077	7	3	9
2.6063	8	1	7
2.6093	7	2	14
2.61002	7	2	14
2.61002	7	2	14
2.61002	7	2	14
2.61002	7	2	14
2.61002	7	2	14
2.6413	9	3	10
2.64202	9	3	10
2.6463	12	1	8
2.6479	9	1	1
2.6927	9	3	10
2.7055	10	2	10
2.7071	9	1	1
2.7647	7	1	3
2.7663	9	3	10
